StartTime	EndTime	Turn	Interlocutor	Speech	Interruption
636.6S	739.3S	11	CLINTON:	Well, I think that trade is an important issue. Of course, we are 5 percent of the world’s population; we have to trade with the other 95 percent. And we need to have smart, fair trade deals. We also, though, need to have a tax system that rewards work and not just financial transactions. And the kind of plan that Donald has put forth would be trickle-down economics all over again. In fact, it would be the most extreme version, the biggest tax cuts for the top percent of the people in this country than we’ve ever had. I call it trumped-up trickle-down, because that’s exactly what it would be. That is not how we grow the economy. We just have a different view about what’s best for growing the economy, how we make investments that will actually produce jobs and rising incomes. I think we come at it from somewhat different perspectives. I understand that. You know, Donald was very fortunate in his life, and that’s all to his benefit. He started his business with $14 million, borrowed from his father, and he really believes that the more you help wealthy people, the better off we’ll be and that everything will work out from there. I don’t buy that. I have a different experience. My father was a small-businessman. He worked really hard. He printed drapery fabrics on long tables, where he pulled out those fabrics and he went down with a silkscreen and dumped the paint in and took the squeegee and kept going. And so what I believe is the more we can do for the middle class, the more we can invest in you, your education, your skills, your future, the better we will be off and the better we’ll grow. That’s the kind of economy I want us to see again.	No
739.5S	756.6S	12	HOLT:	Let me follow up with Mr. Trump, if I can. You’ve talked about creating 25 million jobs, and you’ve promised to bring back millions of jobs for Americans. How are you going to bring back the industries that have left this country for cheaper labor overseas? How, specifically, are you going to tell American manufacturers that you have to come back?	No
756.7S	841.6S	13	TRUMP:	Well, for one thing — and before we start on that — my father gave me a very small loan in 1975, and I built it into a company that’s worth many, many billions of dollars, with some of the greatest assets in the world, and I say that only because that’s the kind of thinking that our country needs. Our country’s in deep trouble. We don’t know what we’re doing when it comes to devaluations and all of these countries all over the world, especially China. They’re the best, the best ever at it. What they’re doing to us is a very, very sad thing. So we have to do that. We have to renegotiate our trade deals. And, Lester, they’re taking our jobs, they’re giving incentives, they’re doing things that, frankly, we don’t do. Let me give you the example of Mexico. They have a VAT tax. We’re on a different system. When we sell into Mexico, there’s a tax. When they sell in — automatic, 16 percent, approximately. When they sell into us, there’s no tax. It’s a defective agreement. It’s been defective for a long time, many years, but the politicians haven’t done anything about it. Now, in all fairness to Secretary Clinton — yes, is that OK? Good. I want you to be very happy. It’s very important to me. But in all fairness to Secretary Clinton, when she started talking about this, it was really very recently. She’s been doing this for 30 years. And why hasn’t she made the agreements better? The NAFTA agreement is defective. Just because of the tax and many other reasons, but just because of the fact…	No
841.7S	842.7S	14	HOLT:	Let me interrupt just a moment, but...	No
842.7S	865.4S	15	TRUMP:	Secretary Clinton and others, politicians, should have been doing this for years, not right now, because of the fact that we’ve created a movement. They should have been doing this for years. What’s happened to our jobs and our country and our economy generally is — look, we owe $20 trillion. We cannot do it any longer, Lester.	No
865.5S	872S	16	HOLT:	Back to the question, though. How do you bring back — specifically bring back jobs, American manufacturers? How do you make them bring the jobs back?	No
872S	916S	17	TRUMP:	Well, the first thing you do is don’t let the jobs leave. The companies are leaving. I could name, I mean, there are thousands of them. They’re leaving, and they’re leaving in bigger numbers than ever. And what you do is you say, fine, you want to go to Mexico or some other country, good luck. We wish you a lot of luck. But if you think you’re going to make your air conditioners or your cars or your cookies or whatever you make and bring them into our country without a tax, you’re wrong. And once you say you’re going to have to tax them coming in, and our politicians never do this, because they have special interests and the special interests want those companies to leave, because in many cases, they own the companies. So what I’m saying is, we can stop them from leaving. We have to stop them from leaving. And that’s a big, big factor.	No
916.2S	917.2S	18	HOLT:	Let me let Secretary Clinton get in here.	No
917S	955.9S	19	CLINTON:	Well, let’s stop for a second and remember where we were eight years ago. We had the worst financial crisis, the Great Recession, the worst since the 1930s. That was in large part because of tax policies that slashed taxes on the wealthy, failed to invest in the middle class, took their eyes off of Wall Street, and created a perfect storm. In fact, Donald was one of the people who rooted for the housing crisis. He said, back in 2006, “Gee, I hope it does collapse, because then I can go in and buy some and make some money.” Well, it did collapse.	Yes
956.1S	957.4S	20	TRUMP:	That’s called business, by the way.	No
956.2S	1038.3S	21	CLINTON:	Nine million people — nine million people lost their jobs. Five million people lost their homes. And $13 trillion in family wealth was wiped out. Now, we have come back from that abyss. And it has not been easy. So we’re now on the precipice of having a potentially much better economy, but the last thing we need to do is to go back to the policies that failed us in the first place. Independent experts have looked at what I’ve proposed and looked at what Donald’s proposed, and basically they’ve said this: that if his tax plan, which would blow up the debt by over $5 trillion and would in some instances disadvantage middle-class families compared to the wealthy, were to go into effect, we would lose 3.5 million jobs and maybe have another recession. They’ve looked at my plans and they’ve said, OK, if we can do this, and I intend to get it done, we will have 10 million more new jobs, because we will be making investments where we can grow the economy. Take clean energy. Some country is going to be the clean-energy superpower of the 21st century. Donald thinks that climate change is a hoax perpetrated by the Chinese. I think it’s real.	Yes
1038.4S	1039.8S	22	TRUMP:	I did not. I did not.	No
1038.7S	1040.3S	23	CLINTON:	I think science is real.	Yes
1040S	1040.8S	24	TRUMP:	I do not say that.	Yes
1040.9S	1044S	25	CLINTON:	And I think it’s important that we grip this...	No
1041.7S	1042.4S	26	TRUMP:	I do not say that.	Yes
1044.3S	1076.6S	27	CLINTON:	...and deal with it, both at home and abroad. And here’s what we can do. We can deploy a half a billion more solar panels. We can have enough clean energy to power every home. We can build a new modern electric grid. That’s a lot of jobs; that’s a lot of new economic activity. So I’ve tried to be very specific about what we can and should do, and I am determined that we’re going to get the economy really moving again, building on the progress we’ve made over the last eight years, but never going back to what got us in trouble in the first place.	No
1076.6S	1077S	28	HOLT:	Mr. Trump?	No
1077.2S	1156.1S	29	TRUMP:	She talks about solar panels. We invested in a solar company, our country. That was a disaster. They lost plenty of money on that one. Now, look, I’m a great believer in all forms of energy, but we’re putting a lot of people out of work. Our energy policies are a disaster. Our country is losing so much in terms of energy, in terms of paying off our debt. You can’t do what you’re looking to do with $20 trillion in debt. The Obama administration, from the time they’ve come in, is over 230 years’ worth of debt, and he’s topped it. He’s doubled it in a course of almost eight years, seven-and-a-half years, to be semi-exact. So I will tell you this. We have to do a much better job at keeping our jobs. And we have to do a much better job at giving companies incentive to build new companies or to expand, because they’re not doing it. And all you have to do is look at Michigan and look at Ohio and look at all of these places where so many of their jobs and their companies are just leaving, they’re gone. And, Hillary, I’d just ask you this. You’ve been doing this for 30 years. Why are you just thinking about these solutions right now? For 30 years, you’ve been doing it, and now you’re just starting to think of solutions.	No
1156.5S	1156.9S	30	CLINTON:	Well, actually that…	No
1156.5S	1161.1S	31	TRUMP:	I will bring — excuse me. I will bring back jobs. You can’t bring back jobs.	Yes
1160.9S	1164.3S	32	CLINTON:	Well, actually, I have thought about this quite a bit.	Yes
1164.5S	1165.3S	33	TRUMP:	Yeah, for 30 years.	No
1164.9S	1175.3S	34	CLINTON:	And I have — well, not quite that long. I think my husband did a pretty good job in the 1990s. I think a lot about what worked and how we can make it work again…	Yes
1175.2S	1176.4S	35	TRUMP:	Well, he approved NAFTA…	Yes
1175.3S	1178.5S	36	CLINTON:	… (INAUDIBLE) million new jobs, a balanced budget…	Yes
1176.7S	1181.3S	37	TRUMP:	He approved NAFTA, which is the single worst trade deal ever approved in this country.	Yes
1179S	1246.8S	38	CLINTON:	... And incomes... Incomes went up for everybody. Manufacturing jobs went up also in the 1990s, if we’re actually going to look at the facts. When I was in the Senate, I had a number of trade deals that came before me, and I held them all to the same test. Will they create jobs in America? Will they raise incomes in America? And are they good for our national security? Some of them I voted for. The biggest one, a multinational one known as CAFTA, I voted against. And because I hold the same standards as I look at all of these trade deals. But let’s not assume that trade is the only challenge we have in the economy. I think it is a part of it, and I’ve said what I’m going to do. I’m going to have a special prosecutor. We’re going to enforce the trade deals we have, and we’re going to hold people accountable. When I was secretary of state, we actually increased American exports globally 30 percent. We increased them to China 50 percent. So I know how to really work to get new jobs and to get exports that helped to create more new jobs.	Yes
1246.8S	1247.1S	39	HOLT:	Very quickly…	No
1247.2S	1250.6S	40	TRUMP:	But you haven’t done it in 30 years or 26 years or any number you want it to…	No
1249.8S	1251.8S	41	CLINTON:	Well, I’ve been a senator, Donald…	Yes
1251.4S	1252.7S	42	TRUMP:	You haven’t done it. You haven’t done it.	Yes
1251.6S	1254.3S	43	CLINTON:	And I have been a secretary of state…	Yes
1253.3S	1254S	44	TRUMP:	Excuse me.	Yes
1254.5S	1256.4S	45	CLINTON:	And I have done a lot…	No
1255S	1261.1S	46	TRUMP:	Your husband signed NAFTA, which was one of the worst things that ever happened to the manufacturing industry.	Yes
1259.3S	1261.4S	47	CLINTON:	Well, that’s your opinion. That is your opinion.	Yes
1261.5S	1293.2S	48	TRUMP:	You go to New England, you go to Ohio, Pennsylvania, you go anywhere you want, Secretary Clinton, and you will see devastation where manufacture is down 30, 40, sometimes 50 percent. NAFTA is the worst trade deal maybe ever signed anywhere, but certainly ever signed in this country. And now you want to approve Trans-Pacific Partnership. You were totally in favor of it. Then you heard what I was saying, how bad it is, and you said, I can’t win that debate. But you know that if you did win, you would approve that, and that will be almost as bad as NAFTA. Nothing will ever top NAFTA.	No
1292.3S	1303.9S	49	CLINTON:	Well, that is just not accurate. I was against it once it was finally negotiated and the terms were laid out. I wrote about that in…	Yes
1303.9S	1305.5S	50	TRUMP:	You called it the gold standard.	No
1304.1S	1306.3S	51	CLINTON:	I wrote about- Well I hope I-	Yes
1306.2S	1308.6S	52	TRUMP:	You called it the gold standard of trade deals.	Yes
1308.2S	1309S	53	CLINTON:	And- you know what?	Yes
1308.6S	1311.1S	54	TRUMP:	You said it’s the finest deal you’ve ever seen.	Yes
1311.2S	1311.5S	55	CLINTON:	No.	No
1311.4S	1314.2S	56	TRUMP:	And then you heard what I said about it, and all of a sudden you were against it.	Yes
1314.5S	1318S	57	CLINTON:	Well, Donald, I know you live in your own reality, but that is not...	No
1316.9S	1317.1S	58	TRUMP:	Oh yeah?	Yes
1318.7S	1324.2S	59	CLINTON:	... the facts. The facts are — I did say I hoped it would be a good deal, but when it was negotiated…	No
1324.1S	1324.3S	60	TRUMP:	Not.	Yes
1324.3S	1330.2S	61	CLINTON:	… which I was not responsible for, I concluded it wasn’t. I wrote about that in my book…	No
1328.7S	1330.4S	62	TRUMP:	So is it President Obama’s fault?	Yes
1330.7S	1333.4S	63	CLINTON:	… before you even announced.	No
1330.8S	1332.6S	64	TRUMP:	Is it President Obama’s fault?	Yes
1333.7S	1334.9S	65	CLINTON:	Look, there are differences…	No
1334.2S	1336.4S	66	TRUMP:	Secretary, is it President Obama’s fault?	Yes
1335.3S	1337.6S	67	CLINTON:	There... There are different-	Yes
1337.2S	1338.1S	68	TRUMP:	Because he’s pushing it.	Yes
1338.1S	1357.9S	69	CLINTON:	There are different views about what’s good for our country, our economy, and our leadership in the world. And I think it’s important to look at what we need to do to get the economy going again. That’s why I said new jobs with rising incomes, investments, not in more tax cuts that would add $5 trillion to the debt.	No
1357.9S	1359S	70	TRUMP:	But you have no plan.	No
1358.4S	1360.3S	71	CLINTON:	But in educa— oh, I do.	Yes
1360.3S	1362.6S	72	TRUMP:	Secretary, you have no plan.	No
1361S	1365.9S	73	CLINTON:	In fact, I have written a book about it. It’s called “Stronger Together.” You can pick it up tomorrow...	Yes
1365S	1366.3S	74	TRUMP:	Yeah. That’s about all you’ve…	Yes
1365.5S	1366.3S	75	HOLT:	Folks, we’re going to m-	Yes
1366.2S	1367.5S	76	CLINTON:	... at a bookstore…	Yes
1368.2S	1369.7S	77	CLINTON:	… or at an airport near you.	No
1369.7S	1370.4S	78	HOLT:	We’re going to move to...	No
1370.5S	1401.8S	79	CLINTON:	But it’s because I see this — we need to have strong growth, fair growth, sustained growth. We also have to look at how we help families balance the responsibilities at home and the responsibilities at business. So we have a very robust set of plans. And people have looked at both of our plans, have concluded that mine would create 10 million jobs and yours would lose us 3.5 million jobs, and explode the debt which would have a recession.	No
1398S	1457.8S	80	TRUMP:	You are going to approve one of the biggest tax cuts in history. You are going to approve one of the biggest tax increases in history. You are going to drive business out. Your regulations are a disaster, and you’re going to increase regulations all over the place. And by the way, my tax cut is the biggest since Ronald Reagan. I’m very proud of it. It will create tremendous numbers of new jobs. But regulations, you are going to regulate these businesses out of existence. When I go around — Lester, I tell you this, I’ve been all over. And when I go around, despite the tax cut, the thing — the things that business as in people like the most is the fact that I’m cutting regulation. You have regulations on top of regulations, and new companies cannot form and old companies are going out of business. And you want to increase the regulations and make them even worse. I’m going to cut regulations. I’m going to cut taxes big league, and you’re going to raise taxes big league, end of story.	Yes
1451.2S	1451.5S	81	CLINTON:	(INAUDIBLE)	Yes
1457.8S	1461S	82	HOLT:	Let me get you to pause right there, because we’re going to move into — we’re going to move into the next segment.	No
1459.3S	1460.9S	83	CLINTON:	Yes, well. That, but let's do that-	Yes
1461.1S	1462S	84	HOLT:	We’re going to talk taxes.	No
1461.2S	1463.6S	85	CLINTON:	That can’t — that can’t be left to stand.	Yes
1462.9S	1465.2S	86	HOLT:	Please just take 30 seconds and then we’re going to go on.	Yes
1463.8S	1470.2S	87	CLINTON:	You know, I kind of assumed that there would be a lot of these charges and claims, and so...	Yes
1470.1S	1470.5S	88	TRUMP:	Facts.	Yes
1470.4S	1485.4S	89	CLINTON:	... we have taken the home page of my website, HillaryClinton.com, and we’ve turned it into a fact-checker. So if you want to see in real-time what the facts are, please go and take a look. Because what I have proposed…	Yes
1484.2S	1486.2S	90	TRUMP:	And take a look at mine, also, and you’ll see.	Yes
1485.5S	1513.8S	91	CLINTON:	… would not add a penny to the debt, and your plans would add $5 trillion to the debt. What I have proposed would cut regulations and streamline them for small businesses. What I have proposed would be paid for by raising taxes on the wealthy, because they have made all the gains in the economy. And I think it’s time that the wealthy and corporations paid their fair share to support this country.	Yes
1513.5S	1514.7S	92	HOLT:	Well, you just opened the next segment.	Yes
1514.6S	1517.3S	93	TRUMP:	Well, look, could I just finish — I think- I think I should-	Yes
1514.8S	1519.1S	94	HOLT:	(INAUDIBLE) Actually- actually I need you- we need- you're- I'm going to give you a chance right here…	Yes
1518S	1520.8S	95	TRUMP:	You go to her website, and you take a look at her website.	Yes
1519.3S	1520.6S	96	HOLT:	… with a new 15-minute segment…	Yes
1521.1S	1524.1S	97	TRUMP:	She’s going to raise taxes $1.3 trillion.	No
1523.9S	1524.7S	98	HOLT:	Mr. Trump, I’m going to…	Yes
1524.5S	1536S	99	TRUMP:	And look at her website. You know what? It’s no different than this. She’s telling us how to fight ISIS. Just go to her website. She tells you how to fight ISIS on her website. I don’t think General Douglas MacArthur would like that too much.	Yes
1535.7S	1539S	100	HOLT:	Alright. The next segment, we’re continuing the subject about…	Yes
1538.4S	1541.1S	101	CLINTON:	Well, at least I have a plan to fight ISIS.	Yes
1540.6S	1541.9S	102	HOLT:	… achieving prosperity…	Yes
1541.3S	1543.9S	103	TRUMP:	No, no, you’re telling the enemy everything you want to do.	Yes
1544.1S	1545.8S	104	CLINTON:	No, we’re not. No, we’re not.	No
1544.9S	1548.4S	105	TRUMP:	See, you’re telling the enemy everything you want to do. No wonder you’ve been fighting-	Yes
1546.6S	1548.6S	106	CLINTON:	We're- we are (INAUDIBLE).	Yes
1549.1S	1552.7S	107	TRUMP:	... no wonder you’ve been fighting ISIS your entire adult life.	No
1553.8S	1554.9S	108	HOLT:	Folks- let me- let's	No
1553.8S	1557.5S	109	CLINTON:	Well, that’s a — that’s — go to the — please, the fact checkers, get to work.	Yes
1557.1S	1579.4S	110	HOLT:	OK, you are unpacking a lot here. And we’re still on the issue of achieving prosperity. And I want to talk about- taxes. The fundamental difference between the two of you concerns the wealthy. Secretary Clinton, you’re calling for a tax increase on the wealthiest Americans. I’d like you to further defend that. And, Mr. Trump, you’re calling for tax cuts for the wealthy. I’d like you to defend that. And this next two-minute answer goes to you, Mr. Trump.	Yes
1579.4S	1677.6S	111	TRUMP:	Well, I’m really calling for major jobs, because the wealthy are going create tremendous jobs. They’re going to expand their companies. They’re going to do a tremendous job. I’m getting rid of the carried interest provision. And if you really look, it’s not a tax — it's really not a great thing for the wealthy. It’s a great thing for the middle class. It’s a great thing for companies to expand. And when these people are going to put billions and billions of dollars into companies, and when they’re going to bring $2.5 trillion back from overseas, where they can’t bring the money back, because politicians like Secretary Clinton won’t allow them to bring the money back, because the taxes are so onerous, and the bureaucratic red tape, so what — is so bad. So what they’re doing is they’re leaving our country, and they’re, believe it or not, leaving because taxes are too high and because some of them have lots of money outside of our country. And instead of bringing it back and putting the money to work, because they can’t work out a deal to — and everybody agrees it should be brought back. Instead of that, they’re leaving our country to get their money, because they can’t bring their money back into our country, because of bureaucratic red tape, because they can’t get together. Because we have — we have a president that can’t sit them around a table and get them to approve something. And here’s the thing. Republicans and Democrats agree that this should be done, $2.5 trillion. I happen to think it’s double that. It’s probably $5 trillion that we can’t bring into our country, Lester. And with a little leadership, you’d get it in here very quickly, and it could be put to use on the inner cities and lots of other things, and it would be beautiful. But we have no leadership. And honestly, that starts with Secretary Clinton.	No
1678.2S	1683.7S	112	HOLT:	All right. You have two minutes of the same question to defend tax increases on the wealthiest Americans, Secretary Clinton.	No
1683.8S	1688.4S	113	CLINTON:	I have a feeling that by, the end of this evening, I’m going to be blamed for everything that’s ever happened.	No
1688.3S	1688.5S	114	TRUMP:	Why not?	Yes
1689S	1702S	115	CLINTON:	Why not? Yeah, why not? (LAUGHTER) You know, just join the debate by saying more crazy things. Now, let me say this, it is absolutely the case…	No
1698.4S	1704S	116	TRUMP:	There’s nothing crazy about not letting our companies bring their money back into their country.	Yes
1702.9S	1703.1S	117	CLINTON:	It...	Yes
1703.4S	1706S	118	HOLT:	This is — this is Secretary Clinton’s two minutes, please.	No
1705.5S	1705.8S	119	TRUMP:	Yes.	Yes
1706.7S	1726.9S	120	CLINTON:	Yeah, well, let’s start the clock again, Lester. We’ve looked at your tax proposals. I don’t see changes in the corporate tax rates or the kinds of proposals you’re referring to that would cause the repatriation, bringing back of money that’s stranded overseas. I happen to support that.	No
1726.3S	1727.1S	121	TRUMP:	Then you didn’t read it.	Yes
1727.5S	1747.1S	122	CLINTON:	I happen to — I happen to support that in a way that will actually work to our benefit. But when I look at what you have proposed, you have what is called now the Trump loophole, because it would so advantage you and the business you do. You’ve proposed an approach that has a…	No
1744.8S	1747.4S	123	TRUMP:	Who gave it that name? The first I’ve ever— who gave it that name?	Yes
1747.4S	1749.3S	124	HOLT:	This is-, this is Secretary Clinton’s two minutes.	No
1747.4S	1754.9S	125	CLINTON:	… $4 billion tax benefit for your family. And when you look at what you are proposing…	Yes
1753.7S	1754.9S	126	TRUMP:	How much? How much for my family?	Yes
1755.2S	1755.9S	127	CLINTON:	… it is...	No
1755.9S	1756.5S	128	TRUMP:	Lester, how much?	No
1756.4S	1808.4S	129	CLINTON:	… as I said, trumped-up trickle-down. Trickle-down did not work. It got us into the mess we were in, in 2008 and 2009. Slashing taxes on the wealthy hasn’t worked. And a lot of really smart, wealthy people know that. And they are saying, hey, we need to do more to make the contributions we should be making to rebuild the middle class. I don’t think top-down works in America. I think building the middle class, investing in the middle class, making college debt-free so more young people can get their education, helping people refinance their tax— their debt from college at a lower rate. Those are the kinds of things that will really boost the economy. Broad-based, inclusive growth is what we need in America, not more advantages for people at the very top.	Yes
1809.9S	1810.8S	130	HOLT:	Mr. Trump, we’re…	No
1810.5S	1875.3S	131	TRUMP:	Typical politician. All talk, no action. Sounds good, doesn’t work. Never going to happen. Our country is suffering because people like Secretary Clinton have made such bad decisions in terms of our jobs and in terms of what’s going on. Now, look, we have the worst revival of an economy since the Great Depression. And believe me: We’re in a bubble right now. And the only thing that looks good is the stock market, but if you raise interest rates even a little bit, that’s going to come crashing down. We are in a big, fat, ugly bubble. And we better be awfully careful. And we have a Fed that’s doing political things. This Janet Yellen of the Fed. The Fed is doing political — by keeping the interest rates at this level. And believe me: The day Obama goes off, and he leaves, and goes out to the golf course for the rest of his life to play golf, when they raise interest rates, you’re going to see some very bad things happen, because the Fed is not doing their job. The Fed is being more political than Secretary Clinton.	Yes
1875.5S	1896.2S	132	HOLT:	Mr. Trump, we’re talking about the burden that Americans have to pay, yet you have not released your tax returns. And the reason nominees have released their returns for decades is so that voters will know if their potential president owes money to — who he owes it to and any business conflicts. Don’t Americans have a right to know if there are any conflicts of interest?	No
1896.3S	1961.5S	133	TRUMP:	I don’t mind releasing — I’m under a routine audit. And it’ll be released. And — as soon as the audit’s finished, it will be released. But you will learn more about Donald Trump by going down to the federal elections, where I filed a 104-page essentially financial statement of sorts, the forms that they have. It shows income — in fact, the income — I just looked today — the income is filed at $694 million for this past year, $694 million. If you would have told me I was going to make that 15 or 20 years ago, I would have been very surprised. But that’s the kind of thinking that our country needs. When we have a country that’s doing so badly, that’s being ripped off by every single country in the world, it’s the kind of thinking that our country needs, because everybody — Lester, we have a trade deficit with all of the countries that we do business with, of almost $800 billion a year. You know what that is? That means, who’s negotiating these trade deals? We have people that are political hacks negotiating our trade deals.	No
1961.4S	1962.7S	134	HOLT:	The IRS says an audit…	Yes
1962.1S	1962.5S	135	TRUMP:	Excuse me.	Yes
1962.9S	1971.9S	136	HOLT:	… of your taxes — you’re perfectly free to release your taxes during an audit. And so the question, does the public’s right to know outweigh your personal…	No
1971.9S	2032.3S	137	TRUMP:	Well, I told you, I will release them as soon as the audit. Look, I’ve been under audit almost for 15 years. I know a lot of wealthy people that have never been audited. I said, do you get audited? I get audited almost every year. And in a way, I should be complaining. I’m not even complaining. I don’t mind it. It’s almost become a way of life. I get audited by the IRS. But other people don’t. I will say this. We have a situation in this country that has to be taken care of. I will release my tax returns — against my lawyer’s wishes — when she releases her 33,000 e-mails that have been deleted. As soon as she releases them, I will release. (APPLAUSE) I will release my tax returns. And that’s against — my lawyers, they say, “Don’t do it.” I will tell you this. No — in fact, watching shows, they’re reading the papers. Almost every lawyer says, you don’t release your returns until the audit’s complete. When the audit’s complete, I’ll do it. But I would go against them if she releases her e-mails.	No
2032.2S	2032.8S	138	HOLT:	So it’s negotiable?	Yes
2034.3S	2038.1S	139	TRUMP:	It’s not negotiable, no. Let her release the e-mails. Why did she delete 33,000…	No
2038S	2045.5S	140	HOLT:	Well, I’ll let her answer that. But let me just admonish the audience one more time. There was an agreement. We did ask you to be silent, so it would be helpful for us. Secretary Clinton?	Yes
2046.4S	2117.2S	141	CLINTON:	Well, I think you’ve seen another example of bait-and-switch here. For 40 years, everyone running for president has released their tax returns. You can go and see nearly, I think, 39, 40 years of our tax returns, but everyone has done it. We know the IRS has made clear there is no prohibition on releasing it when you’re under audit. So you’ve got to ask yourself, why won’t he release his tax returns? And I think there may be a couple of reasons. First, maybe he’s not as rich as he says he is. Second, maybe he’s not as charitable as he claims to be. Third, we don’t know all of his business dealings, but we have been told through investigative reporting that he owes about $650 million to Wall Street and foreign banks. Or maybe he doesn’t want the American people, all of you watching tonight, to know that he’s paid nothing in federal taxes, because the only years that anybody’s ever seen were a couple of years when he had to turn them over to state authorities when he was trying to get a casino license, and they showed he didn’t pay any federal income tax. So...	No
2117.5S	2118.1S	142	TRUMP:	That makes me smart.	No
