Start time	Interlocutor	Speech	End time	Interruptions	Absolute time start	Absolute time end				
(0:11:33.5)	HOLT:	Let me let Secretary Clinton get in here.	(0:11:34.5)							
(0:11:34.3)	CLINTON:	Well, let’s stop for a second and remember where we were eight years ago. We had the worst financial crisis, the Great Recession, the worst since the 1930s. That was in large part because of tax policies that slashed taxes on the wealthy, failed to invest in the middle class, took their eyes off of Wall Street, and created a perfect storm. In fact, Donald was one of the people who rooted for the housing crisis. He said, back in 2006, “Gee, I hope it does collapse, because then I can go in and buy some and make some money.” Well, it did collapse.	(0:12:13.2)	x						
(0:12:13.4)	TRUMP:	That’s called business, by the way.	(0:12:14.7)							
(0:12:13.5)	CLINTON:	Nine million people — nine million people lost their jobs. Five million people lost their homes. And $13 trillion in family wealth was wiped out. Now, we have come back from that abyss. And it has not been easy. So we’re now on the precipice of having a potentially much better economy, but the last thing we need to do is to go back to the policies that failed us in the first place. Independent experts have looked at what I’ve proposed and looked at what Donald’s proposed, and basically they’ve said this: that if his tax plan, which would blow up the debt by over $5 trillion and would in some instances disadvantage middle-class families compared to the wealthy, were to go into effect, we would lose 3.5 million jobs and maybe have another recession. They’ve looked at my plans and they’ve said, OK, if we can do this, and I intend to get it done, we will have 10 million more new jobs, because we will be making investments where we can grow the economy. Take clean energy. Some country is going to be the clean-energy superpower of the 21st century. Donald thinks that climate change is a hoax perpetrated by the Chinese. I think it’s real.	(0:13:35.6)	x						
(0:13:35.7)	TRUMP:	I did not. I did not.	(0:13:37.1)							
(0:13:36.0)	CLINTON:	I think science is real.	(0:13:37.6)	x						
(0:13:37.3)	TRUMP:	I do not say that.	(0:13:38.1)	x						
(0:13:38.2)	CLINTON:	And I think it’s important that we grip this...	(0:13:41.3)							
(0:13:39.0)	TRUMP:	I do not say that.	(0:13:39.7)	x						
(0:13:41.6)	CLINTON:	...and deal with it, both at home and abroad. And here’s what we can do. We can deploy a half a billion more solar panels. We can have enough clean energy to power every home. We can build a new modern electric grid. That’s a lot of jobs; that’s a lot of new economic activity. So I’ve tried to be very specific about what we can and should do, and I am determined that we’re going to get the economy really moving again, building on the progress we’ve made over the last eight years, but never going back to what got us in trouble in the first place.	(0:14:13.9)							
(0:14:13.9)	HOLT:	Mr. Trump?	(0:14:14.3)							
(0:14:14.5)	TRUMP:	She talks about solar panels. We invested in a solar company, our country. That was a disaster. They lost plenty of money on that one. Now, look, I’m a great believer in all forms of energy, but we’re putting a lot of people out of work. Our energy policies are a disaster. Our country is losing so much in terms of energy, in terms of paying off our debt. You can’t do what you’re looking to do with $20 trillion in debt. The Obama administration, from the time they’ve come in, is over 230 years’ worth of debt, and he’s topped it. He’s doubled it in a course of almost eight years, seven-and-a-half years, to be semi-exact. So I will tell you this. We have to do a much better job at keeping our jobs. And we have to do a much better job at giving companies incentive to build new companies or to expand, because they’re not doing it. And all you have to do is look at Michigan and look at Ohio and look at all of these places where so many of their jobs and their companies are just leaving, they’re gone. And, Hillary, I’d just ask you this. You’ve been doing this for 30 years. Why are you just thinking about these solutions right now? For 30 years, you’ve been doing it, and now you’re just starting to think of solutions.	(0:15:33.4)							
(0:15:33.8)	CLINTON:	Well, actually that…	(0:15:34.2)							
(0:15:33.8)	TRUMP:	I will bring — excuse me. I will bring back jobs. You can’t bring back jobs.	(0:15:38.4)	x						
(0:15:38.2)	CLINTON:	Well, actually, I have thought about this quite a bit.	(0:15:41.6)	x						
(0:15:41.8)	TRUMP:	Yeah, for 30 years.	(0:15:42.6)							
(0:15:42.2)	CLINTON:	And I have — well, not quite that long. I think my husband did a pretty good job in the 1990s. I think a lot about what worked and how we can make it work again…	(0:15:52.6)	x						
(0:15:52.5)	TRUMP:	Well, he approved NAFTA…	(0:15:53.7)	x						
(0:15:52.6)	CLINTON:	… (INAUDIBLE) million new jobs, a balanced budget…	(0:15:55.8)	x						
(0:15:54.0)	TRUMP:	He approved NAFTA, which is the single worst trade deal ever approved in this country.	(0:15:58.6)	x						
(0:15:56.3)	CLINTON:	... And incomes... Incomes went up for everybody. Manufacturing jobs went up also in the 1990s, if we’re actually going to look at the facts. When I was in the Senate, I had a number of trade deals that came before me, and I held them all to the same test. Will they create jobs in America? Will they raise incomes in America? And are they good for our national security? Some of them I voted for. The biggest one, a multinational one known as CAFTA, I voted against. And because I hold the same standards as I look at all of these trade deals. But let’s not assume that trade is the only challenge we have in the economy. I think it is a part of it, and I’ve said what I’m going to do. I’m going to have a special prosecutor. We’re going to enforce the trade deals we have, and we’re going to hold people accountable. When I was secretary of state, we actually increased American exports globally 30 percent. We increased them to China 50 percent. So I know how to really work to get new jobs and to get exports that helped to create more new jobs.	(0:17:04.1)	x						
(0:17:04.1)	HOLT:	Very quickly…	(0:17:04.4)							
(0:17:04.5)	TRUMP:	But you haven’t done it in 30 years or 26 years or any number you want it to…	(0:17:07.9)							
(0:17:07.1)	CLINTON:	Well, I’ve been a senator, Donald…	(0:17:09.1)	x						
(0:17:08.7)	TRUMP:	You haven’t done it. You haven’t done it.	(0:17:10.0)	x						
(0:17:08.9)	CLINTON:	And I have been a secretary of state…	(0:17:11.6)	x						
(0:17:10.6)	TRUMP:	Excuse me.	(0:17:11.3)	x						
(0:17:11.8)	CLINTON:	And I have done a lot…	(0:17:13.7)							
(0:17:12.3)	TRUMP:	Your husband signed NAFTA, which was one of the worst things that ever happened to the manufacturing industry.	(0:17:18.4)	x						
(0:17:16.6)	CLINTON:	Well, that’s your opinion. That is your opinion.	(0:17.18.7)	x						
(0:17:18.8)	TRUMP:	You go to New England, you go to Ohio, Pennsylvania, you go anywhere you want, Secretary Clinton, and you will see devastation where manufacture is down 30, 40, sometimes 50 percent. NAFTA is the worst trade deal maybe ever signed anywhere, but certainly ever signed in this country. And now you want to approve Trans-Pacific Partnership. You were totally in favor of it. Then you heard what I was saying, how bad it is, and you said, I can’t win that debate. But you know that if you did win, you would approve that, and that will be almost as bad as NAFTA. Nothing will ever top NAFTA.	(0:17:50.5)							
(0:17:49.6)	CLINTON:	Well, that is just not accurate. I was against it once it was finally negotiated and the terms were laid out. I wrote about that in…	(0:18:01.2)	x						
(0:18:01.2)	TRUMP:	You called it the gold standard.	(0:18:02.8)							
(0:18:01.4)	CLINTON:	I wrote about- Well I hope I-	(0:18:03.6)	x						
(0:18:03.5)	TRUMP:	You called it the gold standard of trade deals.	(0:18:05.9)	x						
(0:18:05.5)	CLINTON:	And- you know what?	(0:18:06.3)	x						
(0:18:05.9)	TRUMP:	You said it’s the finest deal you’ve ever seen.	(0:18:08.4)	x						
(0:18:08.5)	CLINTON:	No.	(0:18:08.8)							
(0:18:08.7)	TRUMP:	And then you heard what I said about it, and all of a sudden you were against it.	(0:18:11.5)	x						
(0:18:11.8)	CLINTON:	Well, Donald, I know you live in your own reality, but that is not...	(0:18:15.3)							
(0:18:14.2)	TRUMP:	Oh yeah?	(0:18:14.4)	x						
(0:18:16.0)	CLINTON:	... the facts. The facts are — I did say I hoped it would be a good deal, but when it was negotiated…	(0:18:21.5)							
(0:18:21.4)	TRUMP:	Not.	(0:18:21.6)	x						
(0:18:21.6)	CLINTON:	… which I was not responsible for, I concluded it wasn’t. I wrote about that in my book…	(0:18:27.5)							
(0:18:26.0)	TRUMP:	So is it President Obama’s fault?	(0:18:27.7)	x						
(0:18:28.0)	CLINTON:	… before you even announced.	(0:18:30.7)							
(0:18:28.1)	TRUMP:	Is it President Obama’s fault?	(0:18:29.9)	x						
(0:18:31.0)	CLINTON:	Look, there are differences…	(0:18:32.2)							
(0:18:31.5)	TRUMP:	Secretary, is it President Obama’s fault?	(0:18:33.7)	x						
(0:18:32.6)	CLINTON:	There... There are different-	(0:18:34.9)	x						
(0:18:34.5)	TRUMP:	Because he’s pushing it.	(0:18:35.4)	x						
(0:18:35.4)	CLINTON:	There are different views about what’s good for our country, our economy, and our leadership in the world. And I think it’s important to look at what we need to do to get the economy going again. That’s why I said new jobs with rising incomes, investments, not in more tax cuts that would add $5 trillion to the debt.	(0:18:55.2)							
(0:18:55.2)	TRUMP:	But you have no plan.	(0:18:56.3)							
(0:18:55.7)	CLINTON:	But in educa— oh, I do.	(0:18:57.6)	x						
(0:18:57.6)	TRUMP:	Secretary, you have no plan.	(0:18:59.9)							
(0:18:58.3)	CLINTON:	In fact, I have written a book about it. It’s called “Stronger Together.” You can pick it up tomorrow...	(0:19:03.2)	x						
(0:19:02.3)	TRUMP:	Yeah. That’s about all you’ve…	(0:19:03.6)	x						
(0:19:02.8)	HOLT:	Folks, we’re going to m-	(0:19:03.6)	x						
(0:19:03.5)	CLINTON:	... at a bookstore…	(0:19:04.8)	x						
(0:19:05.5)	CLINTON:	… or at an airport near you.	(0:19:07.0)							
(0:19:07.0)	HOLT:	We’re going to move to...	(0:19:07.7)							
(0:19:07.8)	CLINTON:	But it’s because I see this — we need to have strong growth, fair growth, sustained growth. We also have to look at how we help families balance the responsibilities at home and the responsibilities at business. So we have a very robust set of plans. And people have looked at both of our plans, have concluded that mine would create 10 million jobs and yours would lose us 3.5 million jobs, and explode the debt which would have a recession.	(0:19:39.1)							
(0:19:35.3)	TRUMP:	You are going to approve one of the biggest tax cuts in history. You are going to approve one of the biggest tax increases in history. You are going to drive business out. Your regulations are a disaster, and you’re going to increase regulations all over the place. And by the way, my tax cut is the biggest since Ronald Reagan. I’m very proud of it. It will create tremendous numbers of new jobs. But regulations, you are going to regulate these businesses out of existence. When I go around — Lester, I tell you this, I’ve been all over. And when I go around, despite the tax cut, the thing — the things that business as in people like the most is the fact that I’m cutting regulation. You have regulations on top of regulations, and new companies cannot form and old companies are going out of business. And you want to increase the regulations and make them even worse. I’m going to cut regulations. I’m going to cut taxes big league, and you’re going to raise taxes big league, end of story.	(0:20:35.1)	x						
(0:20:28.5)	CLINTON:	(INAUDIBLE)	(0:20:28.8)	x						
(0:20:35.1)	HOLT:	Let me get you to pause right there, because we’re going to move into — we’re going to move into the next segment.	(0:20:38.3)							
(0:20:36.6)	CLINTON:	Yes, well. That, but let's do that-	(0:20:38.2)	x						
(0:20:38.4)	HOLT:	We’re going to talk taxes.	(0:20:39.3)							
(0:20:38.5)	CLINTON:	That can’t — that can’t be left to stand.	(0:20:40.9)	x						
(0:20:40.2)	HOLT:	Please just take 30 seconds and then we’re going to go on.	(0:20:42.5)	x						
(0:20:41.1)	CLINTON:	You know, I kind of assumed that there would be a lot of these charges and claims, and so...	(0:20:47.5)	x						
(0:20:47.4)	TRUMP:	Facts.	(0:20:47.8)	x						
(0:20:47.7)	CLINTON:	... we have taken the home page of my website, HillaryClinton.com, and we’ve turned it into a fact-checker. So if you want to see in real-time what the facts are, please go and take a look. Because what I have proposed…	(0:21:02.7)	x						
(0:21:01.5)	TRUMP:	And take a look at mine, also, and you’ll see.	(0:21:03.5)	x						
(0:21:02.8)	CLINTON:	… would not add a penny to the debt, and your plans would add $5 trillion to the debt. What I have proposed would cut regulations and streamline them for small businesses. What I have proposed would be paid for by raising taxes on the wealthy, because they have made all the gains in the economy. And I think it’s time that the wealthy and corporations paid their fair share to support this country.	(0:21:31.1)	x						
(0:21:30.8)	HOLT:	Well, you just opened the next segment.	(0:21:32.0)	x						
(0:21:31.9)	TRUMP:	Well, look, could I just finish — I think- I think I should-	(0:21:34.6)	x						
(0:21:32.1)	HOLT:	(INAUDIBLE) Actually- actually I need you- we need- you're- I'm going to give you a chance right here…	(0:21:36.4)	x						
(0:21:35.3)	TRUMP:	You go to her website, and you take a look at her website.	(0:21:38.1)	x						
(0:21:36.6)	HOLT:	… with a new 15-minute segment…	(0:21:37.9)	x						
(0:21:38.4)	TRUMP:	She’s going to raise taxes $1.3 trillion.	(0:21:41.4)							
(0:21:41.2)	HOLT:	Mr. Trump, I’m going to…	(0:21:42.0)	x						
(0:21:41.8)	TRUMP:	And look at her website. You know what? It’s no different than this. She’s telling us how to fight ISIS. Just go to her website. She tells you how to fight ISIS on her website. I don’t think General Douglas MacArthur would like that too much.	(0:21:53.3)	x						
(0:21:53.0)	HOLT:	Alright. The next segment, we’re continuing the subject about…	(0:21:56.3)	x						
(0:21:55.7)	CLINTON:	Well, at least I have a plan to fight ISIS.	(0:21:58.4)	x						
(0:21:57.9)	HOLT:	… achieving prosperity…	(0:21:59.2)	x						
(0:21:58.6)	TRUMP:	No, no, you’re telling the enemy everything you want to do.	(0:22:01.2)	x						
(0:22:01.4)	CLINTON:	No, we’re not. No, we’re not.	(0:22:03.1)							
(0:22:02.2)	TRUMP:	See, you’re telling the enemy everything you want to do. No wonder you’ve been fighting-	(0:22:05.7)	x						
(0:22:03.9)	CLINTON:	We're- we are (INAUDIBLE).	(0:22:05.9)	x						
(0:22:06.4)	TRUMP:	... no wonder you’ve been fighting ISIS your entire adult life.	(0:22:10.0)							
(0:22:11.1)	HOLT:	Folks- let me- let's	(0:22:12.2)							
(0:22:11.1)	CLINTON:	Well, that’s a — that’s — go to the — please, the fact checkers, get to work.	(0:22:14.8)	x						
(0:22:14.4)	HOLT:	OK, you are unpacking a lot here. And we’re still on the issue of achieving prosperity. And I want to talk about- taxes. The fundamental difference between the two of you concerns the wealthy. Secretary Clinton, you’re calling for a tax increase on the wealthiest Americans. I’d like you to further defend that. And, Mr. Trump, you’re calling for tax cuts for the wealthy. I’d like you to defend that. And this next two-minute answer goes to you, Mr. Trump.	(0:22:36.7)	x						
(0:22:36.7)	TRUMP:	Well, I’m really calling for major jobs, because the wealthy are going create tremendous jobs. They’re going to expand their companies. They’re going to do a tremendous job. I’m getting rid of the carried interest provision. And if you really look, it’s not a tax — it's really not a great thing for the wealthy. It’s a great thing for the middle class. It’s a great thing for companies to expand. And when these people are going to put billions and billions of dollars into companies, and when they’re going to bring $2.5 trillion back from overseas, where they can’t bring the money back, because politicians like Secretary Clinton won’t allow them to bring the money back, because the taxes are so onerous, and the bureaucratic red tape, so what — is so bad. So what they’re doing is they’re leaving our country, and they’re, believe it or not, leaving because taxes are too high and because some of them have lots of money outside of our country. And instead of bringing it back and putting the money to work, because they can’t work out a deal to — and everybody agrees it should be brought back. Instead of that, they’re leaving our country to get their money, because they can’t bring their money back into our country, because of bureaucratic red tape, because they can’t get together. Because we have — we have a president that can’t sit them around a table and get them to approve something. And here’s the thing. Republicans and Democrats agree that this should be done, $2.5 trillion. I happen to think it’s double that. It’s probably $5 trillion that we can’t bring into our country, Lester. And with a little leadership, you’d get it in here very quickly, and it could be put to use on the inner cities and lots of other things, and it would be beautiful. But we have no leadership. And honestly, that starts with Secretary Clinton.	(0:24:14.9)							
(0:24:15.5)	HOLT:	All right. You have two minutes of the same question to defend tax increases on the wealthiest Americans, Secretary Clinton.	(0:24:21.0)							
(0:24:21.1)	CLINTON:	I have a feeling that by, the end of this evening, I’m going to be blamed for everything that’s ever happened.	(0:24:25.7)							
(0:24:25.6)	TRUMP:	Why not?	(0:24:25.8)	x						
(0:24:26.3)	CLINTON:	Why not? Yeah, why not? (LAUGHTER) You know, just join the debate by saying more crazy things. Now, let me say this, it is absolutely the case…	(0:24:39.3)							
(0:24:35.7)	TRUMP:	There’s nothing crazy about not letting our companies bring their money back into their country.	(0:24:41.3)	x						
(0:24:40.2)	CLINTON:	It...	(0:24:40.4)	x						
(0:24:40.7)	HOLT:	This is — this is Secretary Clinton’s two minutes, please.	(0:24:43.3)							
(0:24:42.8)	TRUMP:	Yes.	(0:24:43.1)	x						
(0:24:44.0)	CLINTON:	Yeah, well, let’s start the clock again, Lester. We’ve looked at your tax proposals. I don’t see changes in the corporate tax rates or the kinds of proposals you’re referring to that would cause the repatriation, bringing back of money that’s stranded overseas. I happen to support that.	(0:25:04.2)							
(0:25:03.6)	TRUMP:	Then you didn’t read it.	(0:25:04.4)	x						
(0:25:04.8)	CLINTON:	I happen to — I happen to support that in a way that will actually work to our benefit. But when I look at what you have proposed, you have what is called now the Trump loophole, because it would so advantage you and the business you do. You’ve proposed an approach that has a…	(0:25:24.4)							
(0:25:22.1)	TRUMP:	Who gave it that name? The first I’ve ever— who gave it that name?	(0:25:24.7)	x						
(0:25:24.7)	HOLT:	This is-, this is Secretary Clinton’s two minutes.	(0:25:26.6)							
(0:25:24.7)	CLINTON:	… $4 billion tax benefit for your family. And when you look at what you are proposing…	(0:25:32.2)	x						
(0:25:31.0)	TRUMP:	How much? How much for my family?	(0:25:32.2)	x						
(0:25:32.5)	CLINTON:	… it is...	(0:25:33.2)							
(0:25:33.2)	TRUMP:	Lester, how much?	(0:25:33.8)							
(0:25:33.7)	CLINTON:	… as I said, trumped-up trickle-down. Trickle-down did not work. It got us into the mess we were in, in 2008 and 2009. Slashing taxes on the wealthy hasn’t worked. And a lot of really smart, wealthy people know that. And they are saying, hey, we need to do more to make the contributions we should be making to rebuild the middle class. I don’t think top-down works in America. I think building the middle class, investing in the middle class, making college debt-free so more young people can get their education, helping people refinance their tax— their debt from college at a lower rate. Those are the kinds of things that will really boost the economy. Broad-based, inclusive growth is what we need in America, not more advantages for people at the very top.	(0:26:25.7)	x						
(0:26:27.2)	HOLT:	Mr. Trump, we’re…	(0:26:28.1)							
(0:26:27.8)	TRUMP:	Typical politician. All talk, no action. Sounds good, doesn’t work. Never going to happen. Our country is suffering because people like Secretary Clinton have made such bad decisions in terms of our jobs and in terms of what’s going on. Now, look, we have the worst revival of an economy since the Great Depression. And believe me: We’re in a bubble right now. And the only thing that looks good is the stock market, but if you raise interest rates even a little bit, that’s going to come crashing down. We are in a big, fat, ugly bubble. And we better be awfully careful. And we have a Fed that’s doing political things. This Janet Yellen of the Fed. The Fed is doing political — by keeping the interest rates at this level. And believe me: The day Obama goes off, and he leaves, and goes out to the golf course for the rest of his life to play golf, when they raise interest rates, you’re going to see some very bad things happen, because the Fed is not doing their job. The Fed is being more political than Secretary Clinton.	(0:27:32.6)	x						
(0:27:32.8)	HOLT:	Mr. Trump, we’re talking about the burden that Americans have to pay, yet you have not released your tax returns. And the reason nominees have released their returns for decades is so that voters will know if their potential president owes money to — who he owes it to and any business conflicts. Don’t Americans have a right to know if there are any conflicts of interest?	(0:27:53.5)							
(0:27:53.6)	TRUMP:	I don’t mind releasing — I’m under a routine audit. And it’ll be released. And — as soon as the audit’s finished, it will be released. But you will learn more about Donald Trump by going down to the federal elections, where I filed a 104-page essentially financial statement of sorts, the forms that they have. It shows income — in fact, the income — I just looked today — the income is filed at $694 million for this past year, $694 million. If you would have told me I was going to make that 15 or 20 years ago, I would have been very surprised. But that’s the kind of thinking that our country needs. When we have a country that’s doing so badly, that’s being ripped off by every single country in the world, it’s the kind of thinking that our country needs, because everybody — Lester, we have a trade deficit with all of the countries that we do business with, of almost $800 billion a year. You know what that is? That means, who’s negotiating these trade deals? We have people that are political hacks negotiating our trade deals.	(0:28:58.8)							
(0:28:58.7)	HOLT:	The IRS says an audit…	(0:29:00.0)	x						
(0:28:59.4)	TRUMP:	Excuse me.	(0:28:59.8)	x						
(0:29:00.2)	HOLT:	… of your taxes — you’re perfectly free to release your taxes during an audit. And so the question, does the public’s right to know outweigh your personal…	(0:29:09.2)							
