"","Turn","Interlocutor","Speech","Interruption","StartTime","EndTime","Order","ValenceWarriner","ValenceUncertaintyWarriner","ArousalWarriner","ArousalUncertaintyWarriner","DominanceWarriner","DominanceUncertaintyWarriner","ValenceAfinn","ValenceAnew","ValenceUncertaintyAnew","ArousalAnew","ArousalUncertaintyAnew","DominanceAnew","DominanceUncertaintyAnew","DebateN","Race"
"681",11,"Clinton","Well, I think that trade is an important issue. Of course, we are 5 percent of the world’s population; we have to trade with the other 95 percent. And we need to have smart, fair trade deals. We also, though, need to have a tax system that rewards work and not just financial transactions. And the kind of plan that Donald has put forth would be trickle-down economics all over again. In fact, it would be the most extreme version, the biggest tax cuts for the top percent of the people in this country than we’ve ever had. I call it trumped-up trickle-down, because that’s exactly what it would be. That is not how we grow the economy. We just have a different view about what’s best for growing the economy, how we make investments that will actually produce jobs and rising incomes. I think we come at it from somewhat different perspectives. I understand that. You know, Donald was very fortunate in his life, and that’s all to his benefit. He started his business with $14 million, borrowed from his father, and he really believes that the more you help wealthy people, the better off we’ll be and that everything will work out from there. I don’t buy that. I have a different experience. My father was a small-businessman. He worked really hard. He printed drapery fabrics on long tables, where he pulled out those fabrics and he went down with a silkscreen and dumped the paint in and took the squeegee and kept going. And so what I believe is the more we can do for the middle class, the more we can invest in you, your education, your skills, your future, the better we will be off and the better we’ll grow. That’s the kind of economy I want us to see again.","No",636.6,739.3,1316.5,5.90956043956044,1.72879120879121,3.86549450549451,2.23747252747253,5.80615384615385,2.12164835164835,1.4,6.21741935483871,1.8258064516129,5.33935483870968,2.27612903225806,5.68870967741935,2.09709677419355,1,"2016"
"682",12,"Moderator","Let me follow up with Mr. Trump, if I can. You’ve talked about creating 25 million jobs, and you’ve promised to bring back millions of jobs for Americans. How are you going to bring back the industries that have left this country for cheaper labor overseas? How, specifically, are you going to tell American manufacturers that you have to come back?","No",739.5,756.6,1502,5.50375,1.62125,3.63,2.0775,5.635625,2.155625,1,6.995,1.6,5.615,2.295,6.92,1.765,1,"2016"
"683",13,"Trump","Well, for one thing — and before we start on that — my father gave me a very small loan in 1975, and I built it into a company that’s worth many, many billions of dollars, with some of the greatest assets in the world, and I say that only because that’s the kind of thinking that our country needs. Our country’s in deep trouble. We don’t know what we’re doing when it comes to devaluations and all of these countries all over the world, especially China. They’re the best, the best ever at it. What they’re doing to us is a very, very sad thing. So we have to do that. We have to renegotiate our trade deals. And, Lester, they’re taking our jobs, they’re giving incentives, they’re doing things that, frankly, we don’t do. Let me give you the example of Mexico. They have a VAT tax. We’re on a different system. When we sell into Mexico, there’s a tax. When they sell in — automatic, 16 percent, approximately. When they sell into us, there’s no tax. It’s a defective agreement. It’s been defective for a long time, many years, but the politicians haven’t done anything about it. Now, in all fairness to Secretary Clinton — yes, is that OK? Good. I want you to be very happy. It’s very important to me. But in all fairness to Secretary Clinton, when she started talking about this, it was really very recently. She’s been doing this for 30 years. And why hasn’t she made the agreements better? The NAFTA agreement is defective. Just because of the tax and many other reasons, but just because of the fact…","No",756.7,841.6,1669.5,5.58125,1.75160714285714,3.93482142857143,2.26428571428571,5.45732142857143,2.12928571428571,1.41176470588235,6.2052,1.5596,5.1748,2.2592,5.81,1.9496,1,"2016"
"684",14,"Moderator","Let me interrupt just a moment, but...","No",841.7,842.7,1810,5.10333333333333,1.57333333333333,3.70666666666667,2.25333333333333,5.33,1.76333333333333,-2,6.91,1.47,4.9,2.475,6.345,1.76,1,"2016"
"685",15,"Trump","Secretary Clinton and others, politicians, should have been doing this for years, not right now, because of the fact that we’ve created a movement. They should have been doing this for years. What’s happened to our jobs and our country and our economy generally is — look, we owe $20 trillion. We cannot do it any longer, Lester.","No",842.7,865.4,1842,5.63166666666667,1.83333333333333,4.12083333333333,2.27416666666667,5.7,2.03583333333333,NA,5.388,1.644,4.936,2.046,5.368,1.752,1,"2016"
"686",16,"Moderator","Back to the question, though. How do you bring back — specifically bring back jobs, American manufacturers? How do you make them bring the jobs back?","No",865.5,872,1883,5.39545454545455,1.60818181818182,3.44636363636364,2.01636363636364,5.71272727272727,2.17909090909091,NA,NA,NA,NA,NA,NA,NA,1,"2016"
"687",17,"Trump","Well, the first thing you do is don’t let the jobs leave. The companies are leaving. I could name, I mean, there are thousands of them. They’re leaving, and they’re leaving in bigger numbers than ever. And what you do is you say, fine, you want to go to Mexico or some other country, good luck. We wish you a lot of luck. But if you think you’re going to make your air conditioners or your cars or your cookies or whatever you make and bring them into our country without a tax, you’re wrong. And once you say you’re going to have to tax them coming in, and our politicians never do this, because they have special interests and the special interests want those companies to leave, because in many cases, they own the companies. So what I’m saying is, we can stop them from leaving. We have to stop them from leaving. And that’s a big, big factor.","No",872,916,1975.5,5.72404761904762,1.64428571428571,4.00619047619048,2.33642857142857,5.70142857142857,2.17071428571429,0.75,5.57055555555556,1.69444444444444,5.10777777777778,2.13,5.16944444444444,1.99222222222222,1,"2016"
"688",18,"Moderator","Let me let Secretary Clinton get in here.","No",916.2,917.2,2059.5,5.7925,1.7325,3.2225,1.905,6.1125,1.9475,NA,6.91,1.295,5.315,2.35,6.87,1.61,1,"2016"
"689",19,"Clinton","Well, let’s stop for a second and remember where we were eight years ago. We had the worst financial crisis, the Great Recession, the worst since the 1930s. That was in large part because of tax policies that slashed taxes on the wealthy, failed to invest in the middle class, took their eyes off of Wall Street, and created a perfect storm. In fact, Donald was one of the people who rooted for the housing crisis. He said, back in 2006, “Gee, I hope it does collapse, because then I can go in and buy some and make some money.” Well, it did collapse.","Yes",917,955.9,2115.5,5.39264705882353,1.63911764705882,4.27970588235294,2.26941176470588,5.26970588235294,2.19441176470588,-0.928571428571429,5.27666666666667,1.74266666666667,4.944,2.34733333333333,5.02266666666667,2.03333333333333,1,"2016"
"690",20,"Trump","That’s called business, by the way.","No",956.1,957.4,2170.5,5.695,1.625,3.305,1.925,5.09,2.12,NA,NA,NA,NA,NA,NA,NA,1,"2016"
"691",21,"Clinton","Nine million people — nine million people lost their jobs. Five million people lost their homes. And $13 trillion in family wealth was wiped out. Now, we have come back from that abyss. And it has not been easy. So we’re now on the precipice of having a potentially much better economy, but the last thing we need to do is to go back to the policies that failed us in the first place. Independent experts have looked at what I’ve proposed and looked at what Donald’s proposed, and basically they’ve said this: that if his tax plan, which would blow up the debt by over $5 trillion and would in some instances disadvantage middle-class families compared to the wealthy, were to go into effect, we would lose 3.5 million jobs and maybe have another recession. They’ve looked at my plans and they’ve said, OK, if we can do this, and I intend to get it done, we will have 10 million more new jobs, because we will be making investments where we can grow the economy. Take clean energy. Some country is going to be the clean-energy superpower of the 21st century. Donald thinks that climate change is a hoax perpetrated by the Chinese. I think it’s real.","Yes",956.2,1038.3,2278.5,5.6852,1.6636,4.23386666666667,2.3064,5.48813333333333,2.1936,-0.307692307692308,5.91708333333333,1.58291666666667,5.30791666666667,2.32541666666667,5.64333333333333,1.86041666666667,1,"2016"
"692",22,"Trump","I did not. I did not.","No",1038.4,1039.8,2386.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"2016"
"693",23,"Clinton","I think science is real.","Yes",1038.7,1040.3,2392,6.69666666666667,1.83666666666667,4.35,2.35,6.37666666666667,1.97333333333333,NA,5.585,2.08,5.025,2.395,5.6,2.16,1,"2016"
"694",24,"Trump","I do not say that.","Yes",1040,1040.8,2397,5.66,1.75,4.05,2.315,6.615,1.915,NA,NA,NA,NA,NA,NA,NA,1,"2016"
"695",25,"Clinton","And I think it’s important that we grip this...","No",1040.9,1044,2404,6.21333333333333,1.45,4.03333333333333,2.35333333333333,6.16,2.06333333333333,2,6.41,1.88,5.34,2.48,6.38,2.19,1,"2016"
"696",26,"Trump","I do not say that.","Yes",1041.7,1042.4,2411,5.66,1.75,4.05,2.315,6.615,1.915,NA,NA,NA,NA,NA,NA,NA,1,"2016"
"697",27,"Clinton","...and deal with it, both at home and abroad. And here’s what we can do. We can deploy a half a billion more solar panels. We can have enough clean energy to power every home. We can build a new modern electric grid. That’s a lot of jobs; that’s a lot of new economic activity. So I’ve tried to be very specific about what we can and should do, and I am determined that we’re going to get the economy really moving again, building on the progress we’ve made over the last eight years, but never going back to what got us in trouble in the first place.","No",1044.3,1076.6,2467.5,6.02277777777778,1.63444444444444,4.01333333333333,2.23583333333333,5.86555555555556,2.13305555555556,1,6.64,1.73111111111111,5.52444444444444,2.35444444444444,6.33111111111111,2.03888888888889,1,"2016"
"698",28,"Moderator","Mr. Trump?","No",1076.6,1077,2522.5,4.18,1.68,3.33,1.98,5.86,1.71,NA,NA,NA,NA,NA,NA,NA,1,"2016"
"699",29,"Trump","She talks about solar panels. We invested in a solar company, our country. That was a disaster. They lost plenty of money on that one. Now, look, I’m a great believer in all forms of energy, but we’re putting a lot of people out of work. Our energy policies are a disaster. Our country is losing so much in terms of energy, in terms of paying off our debt. You can’t do what you’re looking to do with $20 trillion in debt. The Obama administration, from the time they’ve come in, is over 230 years’ worth of debt, and he’s topped it. He’s doubled it in a course of almost eight years, seven-and-a-half years, to be semi-exact. So I will tell you this. We have to do a much better job at keeping our jobs. And we have to do a much better job at giving companies incentive to build new companies or to expand, because they’re not doing it. And all you have to do is look at Michigan and look at Ohio and look at all of these places where so many of their jobs and their companies are just leaving, they’re gone. And, Hillary, I’d just ask you this. You’ve been doing this for 30 years. Why are you just thinking about these solutions right now? For 30 years, you’ve been doing it, and now you’re just starting to think of solutions.","No",1077.2,1156.1,2643,5.48653846153846,1.64288461538462,4.21961538461538,2.34307692307692,5.57519230769231,2.19057692307692,-0.285714285714286,5.15952380952381,1.62095238095238,5.6652380952381,2.35190476190476,5.14857142857143,1.98571428571429,1,"2016"
"700",30,"Clinton","Well, actually that…","No",1156.5,1156.9,2764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"2016"
"701",31,"Trump","I will bring — excuse me. I will bring back jobs. You can’t bring back jobs.","Yes",1156.5,1161.1,2773,5.215,1.5725,3.4325,1.98,5.6925,2.19,-1,6.055,1.35,5.225,2.475,5.975,1.85,1,"2016"
"702",32,"Clinton","Well, actually, I have thought about this quite a bit.","Yes",1160.9,1164.3,2785.5,5.89,1.72666666666667,3.84666666666667,2.24,5.8,2.4,NA,6.39,1.58,4.83,2.46,6.02,1.7,1,"2016"
"703",33,"Trump","Yeah, for 30 years.","No",1164.5,1165.3,2792.5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,"2016"
"704",34,"Clinton","And I have — well, not quite that long. I think my husband did a pretty good job in the 1990s. I think a lot about what worked and how we can make it work again…","Yes",1164.9,1175.3,2812,6.541,1.647,3.97,2.349,6.077,2.177,2,6.305,1.77833333333333,5.40833333333333,2.42333333333333,5.74666666666667,2.065,1,"2016"
"705",35,"Trump","Well, he approved NAFTA…","Yes",1175.2,1176.4,2831.5,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,"2016"
"706",36,"Clinton","… (INAUDIBLE) million new jobs, a balanced budget…","Yes",1175.3,1178.5,2837,5.85,1.6525,4.295,2.49,5.05,2.225,NA,NA,NA,NA,NA,NA,NA,1,"2016"
"707",37,"Trump","He approved NAFTA, which is the single worst trade deal ever approved in this country.","Yes",1176.7,1181.3,2848,5.895,1.8225,3.9775,2.4925,5.89,2.1875,0.333333333333333,5.93,1.91,5.26,1.93,5.96,1.93,1,"2016"
"708",38,"Clinton","... And incomes... Incomes went up for everybody. Manufacturing jobs went up also in the 1990s, if we’re actually going to look at the facts. When I was in the Senate, I had a number of trade deals that came before me, and I held them all to the same test. Will they create jobs in America? Will they raise incomes in America? And are they good for our national security? Some of them I voted for. The biggest one, a multinational one known as CAFTA, I voted against. And because I hold the same standards as I look at all of these trade deals. But let’s not assume that trade is the only challenge we have in the economy. I think it is a part of it, and I’ve said what I’m going to do. I’m going to have a special prosecutor. We’re going to enforce the trade deals we have, and we’re going to hold people accountable. When I was secretary of state, we actually increased American exports globally 30 percent. We increased them to China 50 percent. So I know how to really work to get new jobs and to get exports that helped to create more new jobs.","Yes",1179,1246.8,2956,5.84893617021277,1.73276595744681,4.10127659574468,2.33702127659574,5.77042553191489,2.12893617021277,1,6.34866666666667,1.65333333333333,5.27533333333333,2.13266666666667,5.804,2.02466666666667,1,"2016"
"709",39,"Moderator","Very quickly…","No",1246.8,1247.1,3057.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"2016"
"710",40,"Trump","But you haven’t done it in 30 years or 26 years or any number you want it to…","No",1247.2,1250.6,3067.5,5.795,1.77,4.395,2.065,5.76,2.34,1,5.4,1.615,5.17,2.165,4.89,2.07,1,"2016"
"711",41,"Clinton","Well, I’ve been a senator, Donald…","Yes",1249.8,1251.8,3079.5,4.32,1.96,3.75,2.36,5.84,2.85,NA,NA,NA,NA,NA,NA,NA,1,"2016"
"712",42,"Trump","You haven’t done it. You haven’t done it.","Yes",1251.4,1252.7,3086.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"2016"
"713",43,"Clinton","And I have been a secretary of state…","Yes",1251.6,1254.3,3094.5,5.59,1.73,3.53666666666667,2.02,6.01666666666667,2.15333333333333,NA,5.76,1.3,4.66,2.04,5.86,1.62,1,"2016"
"714",44,"Trump","Excuse me.","Yes",1253.3,1254,3099.5,4.52,1.75,3.61,1.97,4.72,2.16,-1,6.055,1.35,5.225,2.475,5.975,1.85,1,"2016"
"715",45,"Clinton","And I have done a lot…","No",1254.5,1256.4,3103.5,5.86,2.03,3.52,2.04,5.72,2.3,NA,NA,NA,NA,NA,NA,NA,1,"2016"
"716",46,"Trump","Your husband signed NAFTA, which was one of the worst things that ever happened to the manufacturing industry.","Yes",1255,1261.1,3115.5,5.8925,1.8175,3.95,2.3325,5.4,2.2,-3,5.3,1.61,4.47,2.43,4.91,2.04,1,"2016"
"717",47,"Clinton","Well, that’s your opinion. That is your opinion.","Yes",1259.3,1261.4,3128.5,6.38,1.86,4.53,2.45,6.28,1.94,NA,6.28,1.45,4.89,2.46,5.53,1.93,1,"2016"
"718",48,"Trump","You go to New England, you go to Ohio, Pennsylvania, you go anywhere you want, Secretary Clinton, and you will see devastation where manufacture is down 30, 40, sometimes 50 percent. NAFTA is the worst trade deal maybe ever signed anywhere, but certainly ever signed in this country. And now you want to approve Trans-Pacific Partnership. You were totally in favor of it. Then you heard what I was saying, how bad it is, and you said, I can’t win that debate. But you know that if you did win, you would approve that, and that will be almost as bad as NAFTA. Nothing will ever top NAFTA.","No",1261.5,1293.2,3187,5.84233333333333,1.73466666666667,4.30066666666667,2.40666666666667,5.88766666666667,2.057,0.555555555555556,5.746,1.517,5.871,2.003,5.593,2.022,1,"2016"
"719",49,"Clinton","Well, that is just not accurate. I was against it once it was finally negotiated and the terms were laid out. I wrote about that in…","Yes",1292.3,1303.9,3254.5,7.42,1.57,4.35,2.25,6.47,1.93,NA,NA,NA,NA,NA,NA,NA,1,"2016"
"720",50,"Trump","You called it the gold standard.","No",1303.9,1305.5,3270.5,6.02,1.585,4.98,2.315,5.47,2.155,NA,7.54,1.63,5.76,2.79,5.85,2.46,1,"2016"
"721",51,"Clinton","I wrote about- Well I hope I-","Yes",1304.1,1306.3,3277,7.48,1.69,5.29,2.8,6.78,2.07,2,7.05,1.96,5.44,2.47,5.52,2.2,1,"2016"
"722",52,"Trump","You called it the gold standard of trade deals.","Yes",1306.2,1308.6,3285,5.98333333333333,1.73666666666667,4.80333333333333,2.49666666666667,5.73333333333333,2.19666666666667,NA,7.54,1.63,5.76,2.79,5.85,2.46,1,"2016"
"723",53,"Clinton","And- you know what?","Yes",1308.2,1309,3291.5,6.82,1.44,3.24,2.02,5.78,1.96,NA,6.93,1.72,5.77,1.92,6.9,2.29,1,"2016"
"724",54,"Trump","You said it’s the finest deal you’ve ever seen.","Yes",1308.6,1311.1,3298,6.14,1.52,3.9,2.39,6.12,2.03,NA,NA,NA,NA,NA,NA,NA,1,"2016"
"725",55,"Clinton","No.","No",1311.2,1311.5,3303,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,1,"2016"
"726",56,"Trump","And then you heard what I said about it, and all of a sudden you were against it.","Yes",1311.4,1314.2,3312.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"2016"
"727",57,"Clinton","Well, Donald, I know you live in your own reality, but that is not...","No",1314.5,1318,3328.5,6.83333333333333,1.58333333333333,4.01666666666667,2.34666666666667,6.51333333333333,1.85,NA,6.93,1.72,5.77,1.92,6.9,2.29,1,"2016"
"728",58,"Trump","Oh yeah?","Yes",1316.9,1317.1,3336.5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,"2016"
"729",59,"Clinton","... the facts. The facts are — I did say I hoped it would be a good deal, but when it was negotiated…","No",1318.7,1324.2,3348,6.406,1.48,3.846,2.456,6.17,2.098,3,7.47,1.45,5.43,2.85,6.41,2.05,1,"2016"
"730",60,"Trump","Not.","Yes",1324.1,1324.3,3359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"2016"
"731",61,"Clinton","… which I was not responsible for, I concluded it wasn’t. I wrote about that in my book…","No",1324.3,1330.2,3368,6.665,1.96,3.065,2.285,6.9,2.12,2,5.72,1.54,4.17,2.49,5.3,2.05,1,"2016"
"732",62,"Trump","So is it President Obama’s fault?","Yes",1328.7,1330.4,3379.5,4.38,1.615,4.365,2.6,4.2,2.385,NA,4.315,1.775,4.85,1.915,4.395,2.13,1,"2016"
"733",63,"Clinton","… before you even announced.","No",1330.7,1333.4,3384.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"2016"
"734",64,"Trump","Is it President Obama’s fault?","Yes",1330.8,1332.6,3389,4.38,1.615,4.365,2.6,4.2,2.385,NA,4.315,1.775,4.85,1.915,4.395,2.13,1,"2016"
"735",65,"Clinton","Look, there are differences…","No",1333.7,1334.9,3393.5,5.95,1.68,3.76,2.64,5.88,1.67,NA,NA,NA,NA,NA,NA,NA,1,"2016"
"736",66,"Trump","Secretary, is it President Obama’s fault?","Yes",1334.2,1336.4,3398.5,4.64666666666667,1.69,4.17666666666667,2.45666666666667,5.02666666666667,2.34333333333333,NA,4.79666666666667,1.61666666666667,4.78666666666667,1.95666666666667,4.88333333333333,1.96,1,"2016"
"737",67,"Clinton","There... There are different-","Yes",1335.3,1337.6,3403.5,5.91,1.8,3.95,2.2,6.47,1.81,NA,NA,NA,NA,NA,NA,NA,1,"2016"
"738",68,"Trump","Because he’s pushing it.","Yes",1337.2,1338.1,3407.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"2016"
"739",69,"Clinton","There are different views about what’s good for our country, our economy, and our leadership in the world. And I think it’s important to look at what we need to do to get the economy going again. That’s why I said new jobs with rising incomes, investments, not in more tax cuts that would add $5 trillion to the debt.","No",1338.1,1357.9,3439.5,5.61578947368421,1.65736842105263,4.37315789473684,2.39473684210526,5.54210526315789,2.01157894736842,0.5,5.706,1.688,5.406,2.478,5.406,2.16,1,"2016"
"740",70,"Trump","But you have no plan.","No",1357.9,1359,3472,6,1.745,3.69,2.15,6,2.115,-1,6.47,1.36,4.77,2.49,6.55,1.53,1,"2016"
"741",71,"Clinton","But in educa— oh, I do.","Yes",1358.4,1360.3,3477.5,5.41,1.84,3.67,2.15,6.35,2,NA,NA,NA,NA,NA,NA,NA,1,"2016"
"742",72,"Trump","Secretary, you have no plan.","No",1360.3,1362.6,3483,5.72666666666667,1.77666666666667,3.72666666666667,2.15666666666667,6.22666666666667,2.16333333333333,-1,6.115,1.33,4.715,2.265,6.205,1.575,1,"2016"
"743",73,"Clinton","In fact, I have written a book about it. It’s called “Stronger Together.” You can pick it up tomorrow...","Yes",1361,1365.9,3495,6.292,1.7,3.34,2.11,6.102,2.064,2,5.635,1.61,4.23,2.205,5.435,1.88,1,"2016"
"744",74,"Trump","Yeah. That’s about all you’ve…","Yes",1365,1366.3,3507,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,"2016"
"745",75,"Moderator","Folks, we’re going to m-","Yes",1365.5,1366.3,3512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"2016"
"746",76,"Clinton","... at a bookstore…","Yes",1366.2,1367.5,3516,7.19,1.97,4.25,2.71,7.15,1.66,NA,NA,NA,NA,NA,NA,NA,1,"2016"
"747",77,"Clinton","… or at an airport near you.","No",1368.2,1369.7,3520.5,6,2.14,5.5,2.78,5.79,2.84,NA,5.9,2.09,5.97,2.01,4.41,1.82,1,"2016"
"748",78,"Moderator","We’re going to move to...","No",1369.7,1370.4,3526,4.95,1.86,4.24,2.45,5.12,2.32,NA,NA,NA,NA,NA,NA,NA,1,"2016"
